23:42:42: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 45] Logger initialized
23:42:42: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 4.0)
23:42:43: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 1.0)
23:42:43: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.6666666666666666)
23:42:44: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.5)
23:42:44: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.4)
23:42:45: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.3333333333333333)
23:42:45: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.2857142857142857)
23:42:46: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 2.5, 0.25)
23:42:46: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 4.444444444444445, 0.2222222222222222)
23:42:47: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 6.0, 0.2)
23:42:47: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (1.8181818181818181, 5.454545454545454, 0.18181818181818182)
23:42:48: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (3.3333333333333335, 5.0, 0.16666666666666666)
23:42:48: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (4.615384615384615, 4.615384615384615, 0.15384615384615385)
23:42:49: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
23:42:49: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (4.0, 1.3333333333333333, 0.13333333333333333)
23:42:50: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (3.75, 0.0, 0.125)
23:42:50: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (2.3529411764705883, 0.0, 0.11764705882352941)
23:42:51: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (1.1111111111111112, 0.0, 0.1111111111111111)
23:42:51: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.10526315789473684)
23:42:52: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 1.0, 0.1)
23:42:52: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 1.9047619047619047, 0.09523809523809523)
23:42:53: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 2.727272727272727, 0.09090909090909091)
23:42:53: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
23:42:54: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (1.6666666666666667, 2.5, 0.08333333333333333)
23:42:54: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (2.4, 2.4, 0.08)
23:42:55: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
23:42:55: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
23:42:56: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (2.142857142857143, 0.0, 0.07142857142857142)
23:42:56: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (1.3793103448275863, 0.0, 0.06896551724137931)
23:42:57: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.6666666666666666, 0.0, 0.06666666666666667)
23:42:57: [INFO] [C:\Users\16478\Documents\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] Average velocity so far: (0.0, 0.0, 0.06451612903225806)
